voyage_id,raw_text,event_type,start_time,end_time
V001,03/04/2025 10:00 – Anchored at port limits,ARRIVAL,2025-04-03T10:00:00,
V001,03/04/2025 14:00 – Pilot embarked vessel,PILOT_ONBOARD,2025-04-03T14:00:00,
V001,03/04/2025 20:00 – All fast at berth 1,BERTHING,2025-04-03T20:00:00,
V001,04/04/2025 03:00 – Began loading at jetty 1,LOADING_START,2025-04-04T03:00:00,
V001,04/04/2025 05:00 – Loading operations ended,LOADING_END,,2025-04-04T05:00:00
V001,04/04/2025 09:00 – Ship moved from jetty 1 to 1,SHIFTING,2025-04-04T09:00:00,
V001,04/04/2025 15:00 – Started discharging operations,DISCHARGING_START,2025-04-04T15:00:00,
V001,04/04/2025 17:00 – Completed discharging cargo,DISCHARGING_END,,2025-04-04T17:00:00
V001,05/04/2025 01:00 – Sailed from anchorage,DEPARTURE,2025-04-05T01:00:00,
V002,05/04/2025 09:00 – Ship reached port anchorage,ARRIVAL,2025-04-05T09:00:00,
V002,05/04/2025 10:00 – Pilot on board,PILOT_ONBOARD,2025-04-05T10:00:00,
V002,05/04/2025 14:00 – Ship alongside berth 4,BERTHING,2025-04-05T14:00:00,
V002,05/04/2025 19:00 – Started cargo operations,LOADING_START,2025-04-05T19:00:00,
V002,05/04/2025 23:00 – Cargo loading completed,LOADING_END,,2025-04-05T23:00:00
V002,06/04/2025 02:00 – Ship moved from jetty 4 to 4,SHIFTING,2025-04-06T02:00:00,
V002,06/04/2025 05:00 – Commenced discharging cargo,DISCHARGING_START,2025-04-06T05:00:00,
V002,06/04/2025 08:00 – Finished discharging,DISCHARGING_END,,2025-04-06T08:00:00
V002,06/04/2025 16:00 – Sailed from anchorage,DEPARTURE,2025-04-06T16:00:00,
V003,06/04/2025 14:00 – Vessel arrived at anchorage,ARRIVAL,2025-04-06T14:00:00,
V003,06/04/2025 22:00 – Pilot joined ship,PILOT_ONBOARD,2025-04-06T22:00:00,
V003,06/04/2025 23:00 – All fast at berth 4,BERTHING,2025-04-06T23:00:00,
V003,07/04/2025 06:00 – Started cargo operations,LOADING_START,2025-04-07T06:00:00,
V003,07/04/2025 08:00 – Finished cargo operations,LOADING_END,,2025-04-07T08:00:00
V003,07/04/2025 14:00 – Shifted alongside berth {jetty2},SHIFTING,2025-04-07T14:00:00,
V003,07/04/2025 21:00 – Discharge ops commenced,DISCHARGING_START,2025-04-07T21:00:00,
V003,08/04/2025 02:00 – Discharge ops ended,DISCHARGING_END,,2025-04-08T02:00:00
V003,08/04/2025 06:00 – Sailed from anchorage,DEPARTURE,2025-04-08T06:00:00,
V004,09/04/2025 10:00 – Arrived at outer anchorage,ARRIVAL,2025-04-09T10:00:00,
V004,09/04/2025 14:00 – Pilot embarked vessel,PILOT_ONBOARD,2025-04-09T14:00:00,
V004,09/04/2025 15:00 – All fast at berth 1,BERTHING,2025-04-09T15:00:00,
V004,09/04/2025 22:00 – Loading operations began,LOADING_START,2025-04-09T22:00:00,
V004,10/04/2025 02:00 – Loading operations ended,LOADING_END,,2025-04-10T02:00:00
V004,10/04/2025 08:00 – Ship moved from jetty 1 to 5,SHIFTING,2025-04-10T08:00:00,
V004,10/04/2025 11:00 – Discharge ops commenced,DISCHARGING_START,2025-04-10T11:00:00,
V004,10/04/2025 15:00 – Discharging operations completed,DISCHARGING_END,,2025-04-10T15:00:00
V004,10/04/2025 21:00 – Ship sailed from berth,DEPARTURE,2025-04-10T21:00:00,
V005,11/04/2025 11:00 – Ship reached port anchorage,ARRIVAL,2025-04-11T11:00:00,
V005,11/04/2025 13:00 – Pilot on board,PILOT_ONBOARD,2025-04-11T13:00:00,
V005,11/04/2025 15:00 – All fast at berth 5,BERTHING,2025-04-11T15:00:00,
V005,11/04/2025 16:00 – Loading operations began,LOADING_START,2025-04-11T16:00:00,
V005,11/04/2025 22:00 – Cargo loading completed,LOADING_END,,2025-04-11T22:00:00
V005,12/04/2025 06:00 – Ship moved from jetty 5 to 4,SHIFTING,2025-04-12T06:00:00,
V005,12/04/2025 09:00 – Started discharging operations,DISCHARGING_START,2025-04-12T09:00:00,
V005,12/04/2025 14:00 – Completed discharging cargo,DISCHARGING_END,,2025-04-12T14:00:00
